Board Name,School Name,School Level,Grade Range,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Year
0,66,Elementary,JK-8,180,0,100,0,0,15,0,79%,-7.0,50%,-29.0,64%,-7.0,86%,-14.0,43%,-46.0,36%,-36.0,10,0,2018
0,143,Elementary,JK-8,175,5,100,0,5,15,0,62%,-17.0,31%,-48.0,38%,-41.0,50%,-7.0,42%,-29.0,25%,-4.0,30,10,2018
0,172,Elementary,JK-8,150,5,100,0,0,25,0,59%,3.0,41%,-28.0,45%,-17.0,78%,7.0,28%,-43.0,22%,-11.0,25,5,2018
0,291,Elementary,JK-8,115,5,100,0,0,20,0,75%,2.0,42%,-31.0,67%,12.0,80%,-20.0,70%,-3.0,50%,-32.0,30,25,2018
0,292,Elementary,JK-8,275,5,95,0,0,20,0,16%,-22.0,8%,-23.0,4%,-19.0,42%,-38.0,45%,-22.0,16%,-27.0,30,15,2018
0,470,Elementary,JK-8,305,0,100,5,5,15,0,60%,0.0,52%,-1.0,44%,-6.0,70%,8.0,60%,1.0,18%,-3.0,20,10,2018
0,475,Elementary,JK-8,195,0,100,0,0,10,0,61%,-6.0,71%,10.0,68%,12.0,77%,-1.0,45%,-38.0,18%,-25.0,10,5,2018
0,655,Elementary,JK-8,265,0,100,0,0,20,0,82%,14.0,64%,-16.0,55%,-1.0,84%,5.0,73%,-9.0,46%,10.0,10,0,2018
0,668,Elementary,JK-8,210,0,100,0,0,15,0,76%,16.0,64%,1.0,52%,-5.0,52%,-14.0,59%,-24.0,41%,-4.0,15,5,2018
0,683,Elementary,JK-8,245,0,100,0,0,20,0,71%,1.0,71%,-7.0,50%,-7.0,66%,-3.0,62%,-10.0,22%,-12.0,25,10,2018
0,803,Elementary,JK-8,175,5,100,5,0,15,0,52%,-1.0,52%,-1.0,71%,39.0,59%,2.0,55%,9.0,45%,20.0,20,10,2018
0,906,Elementary,JK-8,160,0,100,0,0,20,0,37%,-30.0,42%,-20.0,21%,-27.0,53%,-14.0,29%,-21.0,29%,-4.0,25,15,2018
0,1106,Elementary,JK-8,175,0,100,0,0,10,0,52%,-3.0,26%,-15.0,35%,8.0,65%,34.0,41%,10.0,12%,-19.0,20,0,2018
0,1155,Elementary,JK-8,240,5,100,5,0,20,0,52%,18.0,48%,-21.0,44%,-12.0,67%,-4.0,52%,-13.0,19%,-16.0,35,15,2018
0,1252,Elementary,JK-8,150,0,100,0,0,25,0,44%,-6.0,56%,-4.0,44%,-16.0,65%,11.0,52%,-2.0,17%,0.0,20,5,2018
0,1279,Elementary,JK-8,235,5,100,0,0,10,0,76%,26.0,80%,13.0,64%,14.0,81%,13.0,84%,16.0,66%,34.0,20,0,2018
0,1329,Elementary,JK-8,270,0,100,0,0,20,0,63%,6.0,63%,-4.0,56%,-6.0,78%,2.0,78%,2.0,43%,14.0,20,10,2018
0,1349,Elementary,JK-8,255,0,100,0,0,10,0,60%,-19.0,40%,-28.0,53%,-21.0,57%,-12.0,57%,-12.0,13%,-42.0,10,0,2018
0,1381,Elementary,JK-8,185,10,100,0,0,20,0,58%,6.0,63%,-4.0,47%,14.0,71%,-8.0,53%,-18.0,29%,0.0,25,10,2018
0,1485,Elementary,JK-8,115,0,100,0,0,20,0,21%,-43.0,21%,-50.0,14%,-36.0,65%,-27.0,41%,-44.0,12%,-26.0,10,5,2018
0,1704,Elementary,JK-8,105,0,100,0,5,10,0,94%,21.0,76%,-15.0,76%,-6.0,79%,-13.0,71%,-6.0,7%,-47.0,5,0,2018
0,1999,Elementary,JK-8,265,0,100,0,0,10,0,93%,1.0,93%,5.0,75%,-10.0,86%,30.0,82%,23.0,64%,23.0,10,5,2018
0,2021,Elementary,JK-8,170,0,100,0,0,15,0,44%,-14.0,44%,-14.0,50%,0.0,83%,3.0,66%,11.0,45%,0.0,15,0,2018
1,79,Elementary,JK-8,250,0,95,0,0,25,0,91%,-3.0,100%,12.0,65%,-17.0,93%,10.0,82%,-5.0,57%,22.0,10,5,2018
1,275,Elementary,JK-8,375,10,100,0,0,5,0,92%,-2.0,90%,-7.0,88%,-3.0,74%,-20.0,89%,7.0,37%,-39.0,20,0,2018
1,611,Elementary,JK-8,330,0,100,0,0,10,0,76%,23.0,68%,9.0,53%,0.0,68%,-2.0,62%,-5.0,27%,-9.0,25,0,2018
1,753,Elementary,JK-8,115,0,100,0,0,20,0,77%,-15.0,85%,-7.0,69%,2.0,91%,-1.0,82%,-10.0,55%,-3.0,10,5,2018
1,761,Elementary,JK-8,215,0,100,0,0,15,0,69%,38.0,69%,42.0,50%,35.0,73%,18.0,54%,9.0,27%,9.0,25,10,2018
1,811,Elementary,JK-8,290,0,100,0,0,20,0,69%,-20.0,66%,-26.0,53%,-16.0,81%,-9.0,78%,-16.0,41%,2.0,20,10,2018
1,862,Elementary,JK-8,240,0,100,0,0,15,0,66%,-19.0,59%,-37.0,53%,-35.0,88%,15.0,84%,-3.0,25%,-42.0,10,0,2018
1,1097,Elementary,JK-8,385,0,95,5,0,10,0,89%,1.0,80%,-15.0,65%,-14.0,91%,1.0,97%,2.0,49%,-22.0,5,0,2018
1,1202,Elementary,JK-8,165,5,100,0,0,25,0,60%,-1.0,53%,-11.0,27%,-16.0,74%,18.0,58%,-9.0,26%,9.0,30,10,2018
1,1212,Elementary,JK-8,270,0,100,0,0,20,0,96%,16.0,91%,1.0,91%,18.0,88%,15.0,92%,11.0,64%,13.0,10,5,2018
1,1215,Elementary,JK-8,175,0,100,0,0,20,0,75%,-8.0,70%,-2.0,65%,-24.0,78%,-22.0,83%,-17.0,43%,-38.0,25,10,2018
1,1218,Elementary,JK-8,495,0,100,0,0,15,0,77%,28.0,60%,-3.0,58%,-2.0,75%,-5.0,77%,-5.0,30%,-32.0,10,0,2018
1,1433,Elementary,JK-8,155,0,100,0,0,15,0,75%,19.0,75%,25.0,65%,9.0,62%,-13.0,77%,-8.0,46%,11.0,30,15,2018
1,1433,Elementary,JK-8,140,0,100,0,0,10,0,68%,1.0,47%,-20.0,68%,35.0,81%,1.0,75%,22.0,19%,-1.0,10,5,2018
1,1653,Elementary,JK-8,265,0,100,0,0,15,0,76%,11.0,83%,18.0,66%,20.0,80%,1.0,75%,-17.0,55%,38.0,20,0,2018
1,1703,Elementary,JK-8,340,0,100,0,0,10,0,82%,32.0,71%,31.0,58%,5.0,88%,-8.0,78%,-8.0,47%,-17.0,20,5,2018
1,1741,Elementary,JK-8,450,5,100,0,0,15,0,74%,-6.0,80%,-10.0,57%,-12.0,77%,-3.0,84%,-6.0,27%,-6.0,10,0,2018
1,1752,Elementary,JK-8,365,10,95,5,5,15,0,83%,0.0,71%,-10.0,71%,0.0,85%,-7.0,85%,-12.0,50%,-14.0,0,0,2018
1,1758,Elementary,JK-6,420,0,100,0,0,10,0,58%,10.0,54%,-8.0,29%,-10.0,68%,-19.0,73%,-6.0,30%,-8.0,20,10,2018
1,1775,Elementary,JK-8,620,3,99,1,2,12,0,55%,4.0,35%,-33.0,24%,-8.0,82%,2.0,78%,-4.0,13%,-23.0,25,6,2018
1,1793,Elementary,JK-8,215,0,100,0,0,10,0,84%,12.0,74%,-23.0,84%,15.0,79%,-11.0,67%,-19.0,38%,14.0,10,5,2018
1,1800,Elementary,JK-8,155,0,95,0,0,20,0,76%,-24.0,82%,-11.0,65%,-6.0,86%,-9.0,95%,0.0,50%,-32.0,20,5,2018
1,1807,Elementary,JK-8,295,0,100,0,0,20,0,55%,1.0,45%,-9.0,34%,-17.0,76%,9.0,76%,24.0,42%,20.0,20,10,2018
1,1850,Elementary,JK-8,230,5,100,5,0,25,0,61%,-10.0,55%,-24.0,30%,-37.0,78%,-11.0,78%,-7.0,53%,-3.0,25,10,2018
2,69,Elementary,JK-8,400,5,100,0,0,5,0,70%,20.0,61%,-3.0,54%,11.0,80%,6.0,82%,12.0,53%,-2.0,20,15,2018
2,101,Elementary,JK-6,315,0,100,0,0,10,5,63%,-11.0,56%,0.0,63%,-6.0,78%,-7.0,73%,-5.0,53%,5.0,10,0,2018
2,135,Elementary,JK-6,450,0,100,0,0,10,0,68%,-7.0,58%,-5.0,51%,-13.0,87%,9.0,87%,17.0,35%,9.0,15,0,2018
2,176,Elementary,JK-6,130,0,100,0,0,10,0,67%,-8.0,67%,5.0,58%,8.0,93%,17.0,93%,17.0,53%,18.0,10,10,2018
2,213,Elementary,JK-8,210,5,100,0,0,15,0,70%,11.0,61%,-4.0,52%,-7.0,70%,-4.0,80%,12.0,40%,8.0,20,20,2018
2,295,Elementary,JK-8,220,5,100,0,0,10,0,93%,15.0,87%,-13.0,73%,-8.0,82%,-14.0,79%,-5.0,29%,-39.0,10,5,2018
2,344,Elementary,JK-8,300,0,100,0,0,15,5,78%,5.0,73%,-4.0,68%,-5.0,72%,-3.0,70%,3.0,40%,-14.0,20,0,2018
2,421,Elementary,JK-8,245,0,100,0,0,10,0,62%,-19.0,67%,-2.0,58%,-7.0,81%,1.0,88%,8.0,62%,16.0,10,5,2018
2,502,Elementary,JK-8,340,0,100,0,0,10,0,68%,1.0,71%,-5.0,59%,-8.0,69%,5.0,60%,2.0,31%,4.0,15,30,2018
2,525,Elementary,JK-8,310,5,100,0,0,5,0,85%,32.0,80%,27.0,80%,44.0,79%,0.0,79%,-6.0,53%,-6.0,15,10,2018
2,636,Elementary,JK-8,505,2,100,2,3,12,2,78%,-2.0,73%,-7.0,66%,-7.0,98%,8.0,98%,8.0,73%,-2.0,17,4,2018
2,686,Elementary,JK-8,190,5,95,0,0,10,0,79%,2.0,71%,-9.0,67%,-3.0,68%,-8.0,41%,-42.0,27%,-14.0,15,5,2018
2,771,Elementary,JK-8,345,0,100,0,0,10,0,83%,7.0,91%,12.0,85%,9.0,70%,-7.0,73%,2.0,43%,-5.0,20,40,2018
2,773,Elementary,JK-8,270,0,100,0,0,10,5,94%,25.0,97%,24.0,94%,17.0,86%,4.0,86%,8.0,50%,12.0,20,5,2018
2,782,Elementary,JK-8,350,5,100,0,0,5,5,47%,-33.0,37%,-43.0,47%,-26.0,86%,3.0,79%,-7.0,56%,-3.0,15,0,2018
2,958,Elementary,JK-6,285,10,100,5,5,5,0,76%,5.0,73%,-10.0,61%,-10.0,90%,0.0,93%,17.0,62%,-19.0,10,10,2018
2,960,Elementary,JK-6,460,0,100,0,0,10,0,86%,11.0,82%,13.0,82%,13.0,76%,-2.0,74%,-9.0,52%,-7.0,10,5,2018
2,994,Elementary,JK-8,460,0,100,0,0,10,0,78%,21.0,65%,14.0,60%,17.0,81%,10.0,84%,15.0,41%,8.0,20,20,2018
2,1062,Elementary,JK-8,300,5,100,0,0,10,5,76%,13.0,82%,35.0,82%,24.0,91%,4.0,91%,8.0,69%,22.0,25,45,2018
2,1091,Elementary,JK-8,175,90,100,5,5,5,0,0%,-33.0,0%,-17.0,0%,-28.0,53%,0.0,53%,0.0,24%,-16.0,25,60,2018
2,1144,Elementary,JK-8,165,5,95,0,5,15,0,79%,-2.0,79%,-2.0,74%,-20.0,82%,3.0,77%,6.0,68%,39.0,15,20,2018
2,1151,Elementary,JK-6,165,10,100,0,0,15,0,43%,-32.0,52%,-36.0,22%,-47.0,90%,4.0,77%,-9.0,32%,-11.0,15,20,2018
2,1405,Elementary,JK-6,140,0,100,0,0,20,0,71%,16.0,76%,26.0,48%,-7.0,82%,15.0,73%,40.0,9%,-20.0,20,5,2018
2,1453,Elementary,JK-8,300,5,100,0,0,10,5,73%,9.0,80%,24.0,67%,0.0,91%,3.0,88%,16.0,78%,47.0,15,5,2018
2,1460,Elementary,JK-6,190,0,100,0,0,15,5,73%,23.0,58%,-11.0,62%,24.0,91%,12.0,84%,2.0,41%,11.0,20,10,2018
2,1507,Elementary,JK-8,155,0,100,0,0,5,0,80%,-13.0,80%,-13.0,73%,-20.0,94%,22.0,88%,10.0,59%,15.0,10,0,2018
2,1526,Elementary,JK-8,205,5,100,0,0,10,0,90%,30.0,62%,-23.0,81%,26.0,76%,5.0,57%,-14.0,43%,14.0,10,10,2018
2,1960,Elementary,JK-8,185,0,100,0,0,15,0,88%,18.0,91%,1.0,71%,11.0,91%,6.0,87%,12.0,39%,14.0,25,15,2018
2,2051,Elementary,JK-8,610,3,100,3,2,6,0,65%,-19.0,56%,-32.0,55%,-27.0,78%,5.0,74%,3.0,54%,3.0,10,2,2018
3,37,Elementary,JK-8,200,5,100,0,0,5,0,55%,17.0,80%,36.0,50%,6.0,52%,-1.0,33%,-38.0,24%,6.0,30,10,2018
3,59,Elementary,JK-8,155,0,100,0,0,10,0,87%,20.0,87%,34.0,73%,20.0,77%,-8.0,77%,8.0,23%,15.0,15,10,2018
3,86,Elementary,JK-8,390,5,100,0,0,20,0,97%,8.0,91%,0.0,77%,0.0,91%,12.0,94%,15.0,47%,5.0,20,10,2018
3,129,Elementary,JK-8,480,0,100,0,0,10,0,90%,2.0,84%,3.0,79%,0.0,88%,-4.0,81%,7.0,43%,-17.0,15,0,2018
3,130,Elementary,JK-8,190,0,100,5,0,10,0,68%,26.0,68%,10.0,79%,62.0,76%,8.0,59%,0.0,47%,6.0,15,15,2018
3,217,Elementary,JK-8,200,0,100,0,0,10,0,75%,-7.0,75%,-13.0,55%,-21.0,90%,5.0,90%,10.0,43%,3.0,15,0,2018
3,316,Elementary,JK-8,335,0,100,0,0,15,0,70%,8.0,63%,-5.0,57%,-11.0,65%,-7.0,65%,-7.0,42%,23.0,25,20,2018
3,397,Elementary,JK-6,220,5,100,0,0,0,0,35%,-13.0,18%,-18.0,15%,-9.0,82%,-12.0,88%,-6.0,53%,9.0,20,10,2018
3,487,Elementary,JK-8,200,0,100,0,0,10,0,81%,21.0,76%,43.0,52%,5.0,74%,3.0,61%,-10.0,30%,-18.0,20,35,2018
3,492,Elementary,JK-8,235,0,100,0,0,5,0,85%,14.0,58%,10.0,19%,-48.0,58%,-23.0,58%,-23.0,33%,-17.0,10,5,2018
3,592,Elementary,JK-8,300,0,100,0,0,10,0,47%,-23.0,53%,-22.0,37%,-13.0,59%,1.0,63%,16.0,37%,37.0,10,5,2018
3,688,Elementary,JK-6,390,0,100,0,0,20,0,62%,16.0,60%,26.0,64%,30.0,60%,0.0,64%,18.0,33%,8.0,15,5,2018
3,713,Elementary,JK-8,310,0,100,0,0,10,0,48%,-20.0,67%,3.0,67%,7.0,84%,18.0,89%,20.0,50%,5.0,20,5,2018
3,733,Elementary,JK-8,630,3,100,2,2,22,1,62%,-4.0,66%,-9.0,52%,-17.0,72%,3.0,64%,7.0,26%,7.0,22,5,2018
3,739,Elementary,JK-8,280,0,100,0,0,10,0,73%,20.0,57%,13.0,40%,2.0,83%,9.0,74%,11.0,35%,13.0,20,0,2018
3,889,Elementary,JK-6,345,5,100,0,0,0,0,62%,13.0,47%,-15.0,49%,16.0,80%,-7.0,59%,-26.0,43%,-17.0,15,0,2018
3,990,Elementary,JK-8,545,8,100,0,0,8,0,56%,9.0,47%,2.0,35%,-10.0,80%,2.0,61%,0.0,50%,17.0,18,20,2018
3,1055,Elementary,JK-8,155,5,100,0,0,10,0,75%,19.0,58%,8.0,67%,29.0,89%,-4.0,74%,-5.0,37%,23.0,15,10,2018
3,1137,Elementary,JK-8,190,0,100,5,0,20,0,80%,-1.0,65%,-16.0,55%,5.0,94%,7.0,65%,-25.0,65%,25.0,20,20,2018
3,1159,Elementary,JK-8,445,5,100,0,0,10,0,91%,-3.0,86%,-8.0,77%,-1.0,84%,-1.0,86%,-2.0,63%,-8.0,10,0,2018
3,1194,Elementary,JK-8,360,40,100,0,0,5,0,53%,9.0,60%,10.0,35%,10.0,74%,0.0,77%,-1.0,36%,-3.0,20,25,2018
3,1263,Elementary,JK-8,310,0,100,0,0,20,0,62%,7.0,67%,3.0,54%,27.0,68%,-17.0,57%,-32.0,39%,-28.0,20,5,2018
3,1297,Elementary,JK-8,650,7,100,3,2,12,0,73%,2.0,66%,-1.0,59%,-8.0,77%,-1.0,81%,3.0,51%,2.0,15,6,2018
3,1377,Elementary,JK-8,280,0,100,0,0,15,0,72%,6.0,81%,0.0,75%,15.0,78%,7.0,70%,-18.0,17%,-16.0,15,10,2018
3,1524,Elementary,JK-8,395,0,100,0,0,15,0,58%,-11.0,46%,-23.0,38%,-37.0,76%,16.0,67%,14.0,20%,5.0,20,15,2018
3,1980,Elementary,JK-8,150,0,100,0,0,20,5,71%,-4.0,71%,13.0,21%,-37.0,100%,29.0,83%,18.0,33%,21.0,25,15,2018
3,2094,Elementary,JK-8,405,5,100,0,0,20,0,54%,-1.0,49%,-27.0,34%,-13.0,65%,16.0,52%,3.0,30%,4.0,20,10,2018
4,168,Elementary,JK-8,205,0,100,0,0,10,0,94%,11.0,94%,16.0,75%,25.0,96%,8.0,87%,11.0,35%,-17.0,10,5,2018
4,327,Elementary,JK-8,170,0,100,0,0,10,0,57%,-19.0,62%,-9.0,38%,-21.0,85%,8.0,75%,-10.0,35%,-11.0,20,0,2018
4,741,Elementary,JK-8,230,5,100,5,5,20,0,44%,-10.0,44%,-29.0,28%,-18.0,74%,-17.0,58%,-24.0,19%,-26.0,30,15,2018
4,746,Elementary,JK-8,140,0,100,0,0,10,0,93%,24.0,93%,18.0,86%,30.0,85%,-3.0,92%,16.0,15%,3.0,5,5,2018
4,836,Elementary,JK-8,345,0,100,0,0,10,0,65%,6.0,54%,11.0,52%,11.0,54%,-34.0,62%,-15.0,5%,-26.0,30,10,2018
4,1166,Elementary,JK-8,275,0,100,0,0,10,5,80%,-11.0,76%,-15.0,64%,-10.0,94%,0.0,90%,-4.0,74%,9.0,0,0,2018
4,1167,Elementary,JK-8,335,5,100,0,0,10,0,82%,1.0,76%,-13.0,59%,-4.0,85%,11.0,63%,-1.0,34%,-2.0,20,10,2018
4,1224,Elementary,JK-8,340,0,100,0,0,10,0,94%,11.0,100%,3.0,76%,4.0,94%,2.0,94%,-4.0,61%,-9.0,10,0,2018
4,1368,Elementary,JK-8,145,0,100,0,0,10,0,100%,23.0,93%,24.0,93%,16.0,85%,2.0,85%,15.0,62%,5.0,15,5,2018
4,1432,Elementary,JK-8,285,5,100,0,0,10,0,93%,2.0,96%,18.0,78%,6.0,86%,0.0,79%,3.0,32%,-11.0,5,5,2018
4,1432,Elementary,JK-8,195,0,100,0,0,10,0,94%,19.0,94%,59.0,62%,7.0,86%,7.0,82%,12.0,45%,9.0,20,40,2018
4,1881,Elementary,JK-8,445,5,100,5,5,5,0,90%,26.0,79%,10.0,52%,-12.0,96%,17.0,90%,20.0,56%,32.0,15,0,2018
4,1884,Elementary,JK-8,195,0,100,0,0,10,0,68%,4.0,84%,13.0,58%,1.0,72%,-7.0,61%,-18.0,39%,-19.0,10,5,2018
4,1890,Elementary,JK-8,130,0,100,5,0,10,5,71%,-5.0,71%,-17.0,57%,10.0,100%,29.0,100%,14.0,58%,15.0,10,0,2018
4,1898,Elementary,JK-8,285,0,100,0,0,5,0,92%,2.0,88%,-2.0,69%,-21.0,93%,10.0,97%,14.0,83%,27.0,15,5,2018
4,1901,Elementary,JK-8,425,0,100,0,0,10,0,94%,4.0,86%,-4.0,84%,-2.0,98%,13.0,84%,-1.0,44%,14.0,5,5,2018
4,1918,Elementary,JK-8,485,0,100,5,5,10,0,68%,-6.0,74%,-12.0,71%,15.0,85%,-9.0,81%,-2.0,63%,11.0,20,10,2018
4,1924,Elementary,JK-8,315,0,100,0,0,5,0,89%,1.0,84%,5.0,63%,-4.0,81%,-4.0,71%,-19.0,24%,-11.0,15,5,2018
4,1936,Elementary,JK-8,140,0,100,0,0,10,0,82%,18.0,64%,-9.0,82%,9.0,83%,-1.0,83%,9.0,33%,-20.0,10,0,2018
4,1940,Elementary,JK-8,245,0,100,5,0,10,0,67%,-1.0,76%,-13.0,61%,14.0,89%,1.0,84%,-10.0,26%,-30.0,20,10,2018
4,1943,Elementary,JK-8,125,5,100,0,0,10,0,92%,10.0,75%,-16.0,75%,30.0,67%,-22.0,67%,-16.0,25%,-31.0,10,0,2018
4,1944,Elementary,JK-8,145,0,100,0,0,10,5,60%,-30.0,73%,-17.0,47%,-43.0,94%,12.0,81%,-10.0,25%,-30.0,10,0,2018
4,1946,Elementary,JK-8,285,5,100,0,0,10,5,83%,6.0,76%,-12.0,34%,-20.0,79%,-21.0,70%,-25.0,42%,-11.0,20,10,2018
4,1954,Elementary,JK-8,175,0,100,0,0,10,5,71%,-8.0,93%,0.0,57%,-7.0,93%,3.0,100%,5.0,29%,-36.0,25,5,2018
5,750,Elementary,JK-8,280,5,100,0,0,25,0,66%,-20.0,51%,-24.0,54%,-21.0,75%,-11.0,71%,-15.0,17%,-40.0,15,10,2018
5,790,Elementary,JK-8,285,0,95,0,0,20,0,83%,-9.0,97%,1.0,59%,-29.0,100%,0.0,95%,1.0,57%,-9.0,20,5,2018
5,1561,Elementary,JK-8,445,0,100,0,0,25,0,76%,-5.0,78%,6.0,49%,2.0,86%,-3.0,89%,-6.0,59%,-4.0,10,5,2018
5,1708,Elementary,JK-8,205,5,100,5,5,30,0,76%,20.0,60%,-1.0,52%,19.0,80%,13.0,80%,8.0,40%,23.0,15,5,2018
5,1810,Elementary,JK-8,125,5,100,0,0,20,0,90%,33.0,90%,19.0,90%,33.0,100%,36.0,81%,-12.0,56%,-1.0,15,20,2018
5,1839,Elementary,JK-8,240,0,100,0,0,25,0,91%,4.0,78%,-22.0,87%,9.0,78%,-15.0,89%,3.0,61%,-10.0,15,10,2018
6,159,Elementary,JK-8,255,0,95,5,0,40,0,56%,4.0,56%,12.0,36%,-4.0,45%,-17.0,55%,-7.0,17%,-14.0,50,20,2018
6,745,Elementary,JK-6,555,0,100,1,1,14,0,85%,4.0,87%,-2.0,65%,-2.0,88%,14.0,76%,1.0,54%,14.0,10,3,2018
6,758,Elementary,JK-8,350,0,95,5,0,20,0,88%,-7.0,79%,-16.0,67%,-9.0,84%,-3.0,91%,4.0,31%,-2.0,10,0,2018
6,798,Elementary,JK-8,175,0,90,0,0,25,0,89%,-5.0,95%,-5.0,84%,-4.0,96%,8.0,100%,6.0,77%,1.0,10,0,2018
6,812,Elementary,JK-6,125,0,100,0,0,25,0,75%,25.0,75%,50.0,38%,-7.0,100%,50.0,100%,20.0,68%,38.0,20,0,2018
6,1097,Elementary,JK-6,420,0,95,0,0,20,0,93%,15.0,93%,-3.0,78%,-14.0,96%,3.0,97%,2.0,56%,1.0,5,5,2018
6,1294,Elementary,JK-6,170,5,100,0,0,10,0,88%,3.0,85%,0.0,77%,-8.0,83%,-9.0,78%,-18.0,28%,-47.0,10,5,2018
6,1434,Elementary,JK-8,215,5,100,0,0,45,0,70%,32.0,64%,14.0,30%,30.0,75%,-10.0,64%,-9.0,31%,8.0,35,10,2018
6,1542,Elementary,JK-8,220,0,95,0,0,35,0,67%,14.0,95%,23.0,81%,37.0,88%,26.0,96%,21.0,54%,29.0,15,0,2018
6,1554,Elementary,JK-8,360,5,95,0,0,20,0,86%,9.0,83%,-7.0,69%,1.0,92%,1.0,92%,-3.0,59%,-11.0,20,5,2018
6,1628,Elementary,JK-8,125,0,95,5,0,45,0,100%,29.0,90%,4.0,90%,19.0,83%,16.0,83%,3.0,67%,20.0,20,0,2018
6,1635,Elementary,JK-6,115,0,100,0,0,30,0,86%,12.0,71%,-7.0,64%,29.0,82%,-10.0,76%,-3.0,53%,7.0,30,10,2018
6,1680,Elementary,JK-6,280,5,100,0,0,15,0,84%,-4.0,71%,-10.0,71%,12.0,85%,6.0,80%,9.0,42%,-3.0,20,5,2018
6,1687,Elementary,JK-6,350,0,100,5,0,15,0,100%,21.0,88%,3.0,81%,22.0,86%,-1.0,86%,-7.0,66%,-4.0,15,5,2018
6,1709,Elementary,JK-8,185,0,100,0,0,25,0,100%,7.0,100%,0.0,83%,-10.0,100%,5.0,85%,10.0,80%,10.0,20,5,2018
6,1709,Elementary,JK-8,330,0,95,0,0,20,0,83%,-14.0,83%,-11.0,77%,-4.0,90%,0.0,95%,10.0,38%,-11.0,15,0,2018
6,1717,Elementary,JK-8,300,40,60,0,0,20,0,70%,19.0,62%,13.0,43%,0.0,87%,-1.0,81%,1.0,55%,15.0,20,10,2018
6,1764,Elementary,JK-6,170,5,95,0,0,10,0,77%,1.0,96%,34.0,77%,20.0,80%,-12.0,80%,-12.0,60%,-24.0,15,0,2018
6,1765,Elementary,JK-8,235,0,100,0,0,25,0,91%,3.0,91%,-9.0,91%,14.0,100%,30.0,82%,-1.0,59%,2.0,25,10,2018
6,1792,Elementary,JK-6,275,10,100,5,0,20,0,89%,29.0,96%,29.0,56%,3.0,85%,11.0,70%,-1.0,22%,2.0,5,0,2018
6,1811,Elementary,JK-6,140,5,100,0,0,40,0,94%,31.0,88%,25.0,62%,25.0,100%,45.0,76%,21.0,38%,11.0,35,10,2018
6,1932,Elementary,JK-8,380,0,95,0,0,25,0,87%,30.0,82%,20.0,55%,4.0,77%,-12.0,75%,-3.0,48%,-3.0,15,5,2018
7,12,Elementary,JK-6,190,50,80,0,0,5,0,81 %,2.0,57 %,-31.0,48 %,-40.0,73 %,-23.0,46 %,-45.0,65 %,-13.0,15,0,2018
7,13,Elementary,JK-6,310,30,85,0,5,10,0,90 %,4.0,80 %,-9.0,80 %,3.0,89 %,0.0,78 %,4.0,83 %,-2.0,20,10,2018
7,2210,Elementary,JK-6,195,10,90,0,0,10,0,82 %,19.0,54 %,17.0,86 %,38.0,67 %,-25.0,60 %,-15.0,60 %,-23.0,20,0,2018
7,2229,Elementary,JK-6,200,65,60,10,15,5,0,85 %,-10.0,73 %,-13.0,77 %,-18.0,96 %,-4.0,80 %,-15.0,68 %,-2.0,40,10,2018
7,2231,Elementary,JK-6,200,60,60,0,0,5,0,89 %,4.0,56 %,-24.0,78 %,18.0,95 %,4.0,85 %,3.0,90 %,8.0,20,5,2018
7,2232,Elementary,JK-6,405,50,65,0,0,0,0,95 %,11.0,79 %,2.0,78 %,9.0,98 %,9.0,89 %,4.0,83 %,5.0,20,10,2018
7,2233,Elementary,JK-6,345,40,70,5,5,0,0,89 %,-7.0,89 %,-7.0,74 %,-22.0,100 %,0.0,93 %,-7.0,93 %,-7.0,15,0,2018
7,2234,Elementary,JK-6,205,60,60,15,15,10,0,82 %,-10.0,74 %,-2.0,69 %,9.0,100 %,19.0,97 %,26.0,93 %,35.0,35,10,2018
7,2235,Elementary,JK-6,280,65,50,10,5,10,0,88 %,7.0,70 %,-8.0,72 %,-6.0,100 %,4.0,89 %,-3.0,93 %,-3.0,35,10,2018
7,2236,Elementary,JK-6,180,65,60,10,10,5,0,90 %,9.0,90 %,16.0,80 %,-1.0,90 %,-2.0,80 %,-9.0,60 %,-16.0,30,5,2018
7,2237,Elementary,JK-6,530,73,63,9,9,8,0,87 %,-6.0,80 %,-2.0,79 %,-10.0,96 %,10.0,94 %,4.0,93 %,7.0,37,9,2018
